0,1,2,3,4
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,race,c_charge_degree_F,length_of_stay,age
race,priors_count,length_of_stay,age,c_charge_degree_F
priors_count,race,length_of_stay,age,c_charge_degree_F
priors_count,length_of_stay,age,race,sex_Female
age,priors_count,sex_Female,race,c_charge_degree_F
age,length_of_stay,priors_count,race,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
priors_count,length_of_stay,sex_Female,age,race
age,priors_count,length_of_stay,race,sex_Female
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,age
age,priors_count,race,c_charge_degree_F,length_of_stay
age,length_of_stay,race,c_charge_degree_F,priors_count
priors_count,age,length_of_stay,race,c_charge_degree_F
race,age,sex_Female,length_of_stay,priors_count
priors_count,length_of_stay,age,race,sex_Female
age,race,priors_count,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,sex_Female
priors_count,race,length_of_stay,age,sex_Female
race,priors_count,age,length_of_stay,c_charge_degree_F
age,priors_count,race,length_of_stay,sex_Female
age,length_of_stay,priors_count,race,c_charge_degree_F
length_of_stay,priors_count,race,c_charge_degree_F,age
age,priors_count,c_charge_degree_F,length_of_stay,race
age,length_of_stay,race,priors_count,c_charge_degree_F
age,race,length_of_stay,priors_count,c_charge_degree_F
age,priors_count,c_charge_degree_F,sex_Female,length_of_stay
priors_count,age,c_charge_degree_F,race,sex_Female
priors_count,length_of_stay,race,c_charge_degree_F,age
priors_count,race,c_charge_degree_F,length_of_stay,age
priors_count,length_of_stay,c_charge_degree_F,race,sex_Female
age,race,length_of_stay,priors_count,sex_Female
priors_count,age,sex_Female,length_of_stay,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
age,priors_count,length_of_stay,race,sex_Female
age,race,length_of_stay,c_charge_degree_F,priors_count
priors_count,race,length_of_stay,age,c_charge_degree_F
age,priors_count,race,length_of_stay,sex_Female
age,c_charge_degree_F,priors_count,sex_Female,length_of_stay
age,priors_count,c_charge_degree_F,race,length_of_stay
priors_count,length_of_stay,race,age,c_charge_degree_F
age,length_of_stay,race,c_charge_degree_F,priors_count
priors_count,race,length_of_stay,age,c_charge_degree_F
age,race,priors_count,c_charge_degree_F,length_of_stay
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,race,age,c_charge_degree_F
age,priors_count,length_of_stay,race,sex_Female
c_charge_degree_F,age,priors_count,race,length_of_stay
age,priors_count,length_of_stay,race,c_charge_degree_F
length_of_stay,c_charge_degree_F,priors_count,age,sex_Female
age,race,priors_count,length_of_stay,c_charge_degree_F
length_of_stay,priors_count,age,race,c_charge_degree_F
age,priors_count,race,sex_Female,c_charge_degree_F
priors_count,race,age,length_of_stay,sex_Female
race,priors_count,length_of_stay,age,sex_Female
age,priors_count,length_of_stay,c_charge_degree_F,race
length_of_stay,priors_count,race,c_charge_degree_F,age
priors_count,age,sex_Female,race,length_of_stay
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,age,length_of_stay,race,c_charge_degree_F
race,priors_count,length_of_stay,age,sex_Female
length_of_stay,priors_count,age,race,c_charge_degree_F
length_of_stay,age,priors_count,race,c_charge_degree_F
priors_count,age,race,length_of_stay,c_charge_degree_F
length_of_stay,priors_count,age,race,sex_Female
age,priors_count,length_of_stay,c_charge_degree_F,race
age,race,priors_count,length_of_stay,c_charge_degree_F
priors_count,age,race,length_of_stay,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,age,race,length_of_stay,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,sex_Female
length_of_stay,age,race,priors_count,c_charge_degree_F
length_of_stay,age,race,c_charge_degree_F,priors_count
age,race,length_of_stay,priors_count,c_charge_degree_F
length_of_stay,c_charge_degree_F,age,race,sex_Female
priors_count,race,length_of_stay,c_charge_degree_F,age
age,priors_count,race,length_of_stay,c_charge_degree_F
length_of_stay,age,race,priors_count,c_charge_degree_F
age,length_of_stay,race,priors_count,c_charge_degree_F
length_of_stay,age,priors_count,c_charge_degree_F,race
race,priors_count,c_charge_degree_F,length_of_stay,age
length_of_stay,age,priors_count,c_charge_degree_F,race
age,length_of_stay,race,priors_count,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,age
priors_count,length_of_stay,race,age,c_charge_degree_F
length_of_stay,race,priors_count,c_charge_degree_F,sex_Female
priors_count,length_of_stay,age,race,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,sex_Female
age,race,priors_count,c_charge_degree_F,sex_Female
c_charge_degree_F,priors_count,age,race,length_of_stay
priors_count,race,age,c_charge_degree_F,length_of_stay
priors_count,race,length_of_stay,age,c_charge_degree_F
age,race,c_charge_degree_F,priors_count,length_of_stay
priors_count,length_of_stay,race,age,sex_Female
length_of_stay,race,priors_count,c_charge_degree_F,age
priors_count,race,age,length_of_stay,c_charge_degree_F
age,race,priors_count,c_charge_degree_F,length_of_stay
age,race,priors_count,c_charge_degree_F,length_of_stay
age,priors_count,race,length_of_stay,sex_Female
age,length_of_stay,priors_count,race,sex_Female
length_of_stay,race,priors_count,c_charge_degree_F,age
age,race,length_of_stay,c_charge_degree_F,priors_count
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
age,length_of_stay,priors_count,race,sex_Female
age,race,length_of_stay,c_charge_degree_F,sex_Female
priors_count,length_of_stay,sex_Female,race,age
age,length_of_stay,race,c_charge_degree_F,priors_count
priors_count,length_of_stay,race,sex_Female,c_charge_degree_F
priors_count,age,length_of_stay,c_charge_degree_F,race
length_of_stay,race,priors_count,age,c_charge_degree_F
priors_count,race,length_of_stay,c_charge_degree_F,age
age,race,priors_count,c_charge_degree_F,length_of_stay
age,race,length_of_stay,priors_count,c_charge_degree_F
priors_count,length_of_stay,race,age,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,age
age,length_of_stay,race,c_charge_degree_F,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
length_of_stay,priors_count,race,age,c_charge_degree_F
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
length_of_stay,age,sex_Female,race,c_charge_degree_F
age,length_of_stay,race,priors_count,c_charge_degree_F
age,length_of_stay,priors_count,race,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,c_charge_degree_F,age,race
priors_count,length_of_stay,age,race,c_charge_degree_F
priors_count,age,race,c_charge_degree_F,length_of_stay
race,age,priors_count,c_charge_degree_F,length_of_stay
age,priors_count,race,length_of_stay,c_charge_degree_F
age,race,priors_count,c_charge_degree_F,length_of_stay
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,age,sex_Female
age,length_of_stay,c_charge_degree_F,race,priors_count
age,priors_count,length_of_stay,c_charge_degree_F,sex_Female
length_of_stay,age,priors_count,race,c_charge_degree_F
priors_count,length_of_stay,age,c_charge_degree_F,race
length_of_stay,age,priors_count,race,c_charge_degree_F
race,age,length_of_stay,priors_count,c_charge_degree_F
priors_count,length_of_stay,sex_Female,race,age
priors_count,length_of_stay,race,c_charge_degree_F,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,age
priors_count,c_charge_degree_F,length_of_stay,race,age
priors_count,race,c_charge_degree_F,length_of_stay,age
priors_count,race,length_of_stay,sex_Female,age
age,priors_count,length_of_stay,race,sex_Female
length_of_stay,age,c_charge_degree_F,race,priors_count
length_of_stay,age,priors_count,race,sex_Female
priors_count,age,length_of_stay,race,c_charge_degree_F
priors_count,race,length_of_stay,age,c_charge_degree_F
length_of_stay,priors_count,sex_Female,race,age
priors_count,length_of_stay,age,race,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
c_charge_degree_F,priors_count,age,race,length_of_stay
priors_count,length_of_stay,age,c_charge_degree_F,race
priors_count,length_of_stay,race,age,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
length_of_stay,priors_count,race,age,c_charge_degree_F
priors_count,race,age,length_of_stay,c_charge_degree_F
age,length_of_stay,priors_count,race,sex_Female
priors_count,sex_Female,race,age,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,c_charge_degree_F,race,age,sex_Female
length_of_stay,priors_count,age,race,c_charge_degree_F
age,length_of_stay,priors_count,race,c_charge_degree_F
age,priors_count,c_charge_degree_F,sex_Female,race
length_of_stay,age,race,priors_count,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,age
priors_count,race,length_of_stay,c_charge_degree_F,age
priors_count,sex_Female,race,length_of_stay,age
age,priors_count,length_of_stay,c_charge_degree_F,race
age,race,length_of_stay,c_charge_degree_F,priors_count
priors_count,age,length_of_stay,race,sex_Female
priors_count,race,age,length_of_stay,c_charge_degree_F
priors_count,race,age,length_of_stay,c_charge_degree_F
age,race,length_of_stay,c_charge_degree_F,priors_count
age,length_of_stay,race,priors_count,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
priors_count,age,race,length_of_stay,c_charge_degree_F
age,priors_count,length_of_stay,c_charge_degree_F,sex_Female
priors_count,length_of_stay,age,race,sex_Female
age,race,priors_count,length_of_stay,sex_Female
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,c_charge_degree_F,age,race,length_of_stay
age,priors_count,race,c_charge_degree_F,sex_Female
priors_count,race,length_of_stay,age,c_charge_degree_F
priors_count,age,race,c_charge_degree_F,length_of_stay
priors_count,age,race,length_of_stay,c_charge_degree_F
priors_count,age,race,c_charge_degree_F,sex_Female
age,c_charge_degree_F,length_of_stay,priors_count,race
age,c_charge_degree_F,sex_Female,race,length_of_stay
length_of_stay,age,priors_count,c_charge_degree_F,sex_Female
length_of_stay,priors_count,age,race,c_charge_degree_F
priors_count,race,length_of_stay,age,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,age,c_charge_degree_F,race,length_of_stay
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,age,c_charge_degree_F
length_of_stay,priors_count,age,c_charge_degree_F,sex_Female
length_of_stay,age,race,priors_count,c_charge_degree_F
age,race,c_charge_degree_F,length_of_stay,priors_count
race,length_of_stay,priors_count,c_charge_degree_F,age
age,priors_count,race,length_of_stay,c_charge_degree_F
length_of_stay,race,age,priors_count,c_charge_degree_F
priors_count,length_of_stay,race,age,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,length_of_stay
age,priors_count,length_of_stay,race,c_charge_degree_F
age,length_of_stay,race,c_charge_degree_F,priors_count
priors_count,race,length_of_stay,age,sex_Female
priors_count,length_of_stay,race,age,c_charge_degree_F
length_of_stay,race,priors_count,age,c_charge_degree_F
priors_count,age,length_of_stay,race,c_charge_degree_F
priors_count,race,length_of_stay,age,sex_Female
priors_count,age,length_of_stay,race,c_charge_degree_F
age,c_charge_degree_F,length_of_stay,race,priors_count
age,priors_count,race,length_of_stay,c_charge_degree_F
race,priors_count,length_of_stay,c_charge_degree_F,age
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
priors_count,c_charge_degree_F,race,sex_Female,age
age,length_of_stay,priors_count,race,sex_Female
age,priors_count,length_of_stay,c_charge_degree_F,sex_Female
age,priors_count,length_of_stay,c_charge_degree_F,race
length_of_stay,age,race,c_charge_degree_F,priors_count
priors_count,age,c_charge_degree_F,race,length_of_stay
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,length_of_stay
priors_count,length_of_stay,age,c_charge_degree_F,race
age,priors_count,race,c_charge_degree_F,length_of_stay
priors_count,age,race,sex_Female,c_charge_degree_F
age,race,length_of_stay,c_charge_degree_F,priors_count
length_of_stay,age,race,priors_count,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,length_of_stay
age,length_of_stay,race,c_charge_degree_F,priors_count
priors_count,length_of_stay,race,c_charge_degree_F,age
age,race,priors_count,c_charge_degree_F,length_of_stay
priors_count,length_of_stay,race,age,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,race,length_of_stay,age,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,sex_Female
priors_count,age,length_of_stay,race,c_charge_degree_F
priors_count,age,race,c_charge_degree_F,sex_Female
age,priors_count,race,length_of_stay,c_charge_degree_F
length_of_stay,age,race,c_charge_degree_F,priors_count
priors_count,age,length_of_stay,race,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,age,length_of_stay,sex_Female,race
age,length_of_stay,priors_count,race,c_charge_degree_F
priors_count,race,length_of_stay,age,c_charge_degree_F
priors_count,age,length_of_stay,race,c_charge_degree_F
length_of_stay,priors_count,sex_Female,race,age
race,priors_count,length_of_stay,sex_Female,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,age,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,length_of_stay
age,race,priors_count,c_charge_degree_F,length_of_stay
age,race,c_charge_degree_F,length_of_stay,priors_count
priors_count,race,length_of_stay,c_charge_degree_F,age
c_charge_degree_F,age,race,length_of_stay,sex_Female
age,priors_count,length_of_stay,race,sex_Female
age,length_of_stay,priors_count,sex_Female,c_charge_degree_F
length_of_stay,priors_count,age,race,sex_Female
age,priors_count,length_of_stay,race,sex_Female
age,race,length_of_stay,priors_count,c_charge_degree_F
age,race,length_of_stay,priors_count,c_charge_degree_F
priors_count,age,c_charge_degree_F,race,length_of_stay
priors_count,age,race,c_charge_degree_F,length_of_stay
priors_count,race,age,c_charge_degree_F,length_of_stay
priors_count,age,length_of_stay,race,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,length_of_stay
race,age,c_charge_degree_F,length_of_stay,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
race,priors_count,length_of_stay,age,c_charge_degree_F
priors_count,length_of_stay,age,race,sex_Female
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,age,length_of_stay,race,c_charge_degree_F
priors_count,race,length_of_stay,age,c_charge_degree_F
length_of_stay,priors_count,age,race,c_charge_degree_F
age,priors_count,race,length_of_stay,c_charge_degree_F
priors_count,length_of_stay,race,age,c_charge_degree_F
age,length_of_stay,race,c_charge_degree_F,priors_count
age,length_of_stay,priors_count,c_charge_degree_F,race
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
priors_count,race,age,c_charge_degree_F,length_of_stay
age,priors_count,length_of_stay,race,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,race,c_charge_degree_F,age
priors_count,race,age,length_of_stay,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,race,age,c_charge_degree_F,length_of_stay
age,priors_count,length_of_stay,race,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,age,c_charge_degree_F,race
age,length_of_stay,priors_count,race,c_charge_degree_F
priors_count,age,length_of_stay,race,c_charge_degree_F
age,race,c_charge_degree_F,priors_count,sex_Female
length_of_stay,priors_count,race,age,c_charge_degree_F
age,priors_count,race,c_charge_degree_F,sex_Female
age,priors_count,length_of_stay,race,sex_Female
age,c_charge_degree_F,priors_count,race,length_of_stay
age,priors_count,length_of_stay,race,c_charge_degree_F
priors_count,length_of_stay,age,race,c_charge_degree_F
age,length_of_stay,race,priors_count,c_charge_degree_F
priors_count,age,length_of_stay,race,c_charge_degree_F
race,age,c_charge_degree_F,length_of_stay,sex_Female
priors_count,age,race,length_of_stay,c_charge_degree_F
age,race,priors_count,c_charge_degree_F,length_of_stay
priors_count,length_of_stay,age,c_charge_degree_F,race
priors_count,age,race,c_charge_degree_F,sex_Female
priors_count,age,length_of_stay,sex_Female,race
